"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Wyposazenie","Material budynku","cena","urlo","miasto","Media","Zabezpieczenia","Informacje dodatkowe","Dostepne od"
"1:266","38 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","lodówka, meble, piekarnik, kuchenka, pralka","cegla","245 000 zl","https://www.otodom.pl/pl/oferta/katowice-zaleze-ul-18-sierpnia-blok-ID4gItp","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe","piwnica",NA
"1:267","25,1 m²","pelna wlasnosc","1 ","do remontu","2/2","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","1930","kamienica","plastikowe","nie",NA,"cegla","212 500 zl","https://www.otodom.pl/pl/oferta/mieszkanie-25m2-doskonala-lokalizacja-ID4fk3b","katowice",NA,"teren zamkniety, domofon / wideofon",NA,NA
"1:268","36,27 m²","zapytaj","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"365 000 zl","https://www.otodom.pl/pl/oferta/rezerwacja-okam-inspire-2-pokoje-36m2-ID4gIcD","katowice",NA,"monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:269","29,94 m²","pelna wlasnosc","1 ","zapytaj","4/5","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","tak",NA,NA,"305 412 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-odrestaurowanej-kamienicy-budynek-z-ID4gIaj","katowice","internet",NA,"oddzielna kuchnia",NA
"1:270","32,74 m²","pelna wlasnosc","2 ","zapytaj","> 10/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","360 140 zl","https://www.otodom.pl/pl/oferta/gotowe-2-pok-odbierz-klucze-juz-dzis-12pt-loggia-ID4gHWq","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:271","31 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","3/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1978","blok",NA,"nie",NA,"beton","249 000 zl","https://www.otodom.pl/pl/oferta/nieduze-mieszkanie-w-cichej-i-dobrej-lokalizacji-ID4gHG9","katowice",NA,NA,"piwnica, oddzielna kuchnia",NA
"1:272","37 m²","zapytaj","2 ","do remontu","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,"199 700 zl","https://www.otodom.pl/pl/oferta/swietna-oferta-dla-rodziny-lub-pary-nie-czekaj-ID4gHoA","katowice",NA,NA,NA,NA
"1:273","28 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1896","kamienica","drewniane","nie",NA,"inne","264 998 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-odnowionej-kamienicy-ID4fFMZ","katowice",NA,NA,"piwnica","2021-10-22"
"1:274","36 m²","pelna wlasnosc","3 ","do zamieszkania","2/2","zapytaj","160 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","lodówka, meble, kuchenka, pralka","cegla","249 000 zl","https://www.otodom.pl/pl/oferta/oferta-dla-inwestora-katowice-blisko-spodka-ID4ezob","katowice","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon","piwnica",NA
"1:275","28,99 m²","pelna wlasnosc","1 ","zapytaj","4/5","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","tak",NA,NA,"295 721 zl","https://www.otodom.pl/pl/oferta/mieszkanie-28-99m2-idealne-pod-wynajem-ID4gEpl","katowice",NA,NA,"oddzielna kuchnia",NA
"1:276","37,97 m²","pelna wlasnosc","1 ","zapytaj","1/5","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","tak",NA,NA,"344 676 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-odrestaurowanej-kamienicy-budynek-z-ID4gCAI","katowice",NA,NA,"oddzielna kuchnia",NA
"1:277","30,15 m²","pelna wlasnosc","1 ","zapytaj","2/5","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","tak",NA,NA,"286 003 zl","https://www.otodom.pl/pl/oferta/mieszkanie-30-15-m2-idealne-pod-wynajem-ID4gCAH","katowice","internet",NA,"oddzielna kuchnia",NA
"1:278","34 m²","pelna wlasnosc","2 ","zapytaj","parter/4","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,"245 000 zl","https://www.otodom.pl/pl/oferta/katowice-janow-ul-zamkowa-2-pokoje-34-m2-ID4gBEy","katowice",NA,"domofon / wideofon","piwnica",NA
"1:279","36 m²","pelna wlasnosc","2 ","do remontu","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,"wielka plyta","239 000 zl","https://www.otodom.pl/pl/oferta/katowice-dabrowka-mala-ul-przedwiosnie-ID4gBxe","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:280","35,1 m²","pelna wlasnosc","1 ","zapytaj","2/3","balkon, taras","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2021",NA,"plastikowe","tak",NA,NA,"439 000 zl","https://www.otodom.pl/pl/oferta/wykonczona-i-umeblowana-pod-klucz-ID4goT0","katowice",NA,"domofon / wideofon",NA,"2021-04-30"
"1:281","34,77 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-loggia-bez-prowizji-ID4eGlz","katowice",NA,NA,NA,NA
"1:282","34,25 m²","zapytaj","1 ","do wykonczenia","6/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2020","apartamentowiec","plastikowe","tak",NA,"inne","297 500 zl","https://www.otodom.pl/pl/oferta/kawalerka-gotowa-w-poblizu-uczelni-ID4g638","katowice","internet","monitoring / ochrona","oddzielna kuchnia",NA
"1:283","25,1 m²","pelna wlasnosc","1 ","do remontu","2/2","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","1930","kamienica","plastikowe","nie",NA,"cegla","199 900 zl","https://www.otodom.pl/pl/oferta/mieszkanie-25m2-doskonala-lokalizacja-ID4gzB2","katowice",NA,"teren zamkniety, domofon / wideofon",NA,NA
"1:284","28 m²","pelna wlasnosc","1 ","do zamieszkania","> 10/13","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"wielka plyta","260 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-zamieszkania-zarabiajace-ID4fVh6","katowice",NA,"domofon / wideofon",NA,NA
"1:285","34,84 m²","pelna wlasnosc","2 ","do zamieszkania","8/10","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2010","apartamentowiec",NA,"tak","meble",NA,"479 000 zl","https://www.otodom.pl/pl/oferta/widokowe-klimatyzowane-urzadzone-m-3-ID4giL6","katowice",NA,"monitoring / ochrona",NA,NA
"1:286","36,58 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","zapytaj","Film","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak",NA,NA,"356 826 zl","https://www.otodom.pl/pl/oferta/moderna-5-nowoczesne-mieszkanie-e1-13a-rezerw-ID4gyug","katowice","internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA
"1:287","38 m²","pelna wlasnosc","2 ","do zamieszkania","1/2","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","lodówka, kuchenka, pralka","cegla","261 000 zl","https://www.otodom.pl/pl/oferta/katowice-bogucice-boczna-od-markiefki-ID4gyr1","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe","piwnica, oddzielna kuchnia",NA
"1:288","37,14 m²","pelna wlasnosc","2 ","do wykonczenia","parter/2","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"382 540 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-ID4fiV9","katowice",NA,NA,NA,NA
"1:289","36,48 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","103 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","kamienica","plastikowe","tak",NA,"cegla","310 080 zl","https://www.otodom.pl/pl/oferta/nr-22-mieszkanie-z-oblednym-widokiem-na-katedre-ID4gxja","katowice",NA,"domofon / wideofon",NA,NA
"1:290","36,48 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","103 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","kamienica","plastikowe","tak",NA,"cegla","310 080 zl","https://www.otodom.pl/pl/oferta/nr-22-mieszkanie-z-oblednym-widokiem-na-katedre-ID4gxj9","katowice",NA,"domofon / wideofon",NA,NA
"1:291","30,15 m²","pelna wlasnosc","2 ","do wykonczenia","2/6","zapytaj","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"cegla","286 003 zl","https://www.otodom.pl/pl/oferta/gotowe-przepiekne-klimatyzowane-w-centrum-ID4fncG","katowice","telewizja kablowa, internet, telefon","monitoring / ochrona","oddzielna kuchnia",NA
"1:292","30,22 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","2020","apartamentowiec","plastikowe","tak",NA,"cegla","272 123 zl","https://www.otodom.pl/pl/oferta/kawalerka-deweloperska-w-centrum-ID4dtmw","katowice",NA,"monitoring / ochrona",NA,NA
"1:293","31,3 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","lodówka, piekarnik, kuchenka","cegla","249 000 zl","https://www.otodom.pl/pl/oferta/klimatyczne-wyposazone-mieszkanie-po-remoncie-ID4gwLb","katowice",NA,"domofon / wideofon","piwnica",NA
"1:294","30,4 m²","zapytaj","1 ","zapytaj","8/11","balkon","310 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak","meble","wielka plyta","285 000 zl","https://www.otodom.pl/pl/oferta/katowice-osiedle-paderewskiego-graniczna-ID4fEg4","katowice",NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:295","37,81 m²","zapytaj","2 ","do zamieszkania","1/3","zapytaj","650 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"nie","meble",NA,"265 000 zl","https://www.otodom.pl/pl/oferta/katowice-centrum-2-pokoje-38m2-inwestycyjne-ID4fyjH","katowice",NA,NA,"piwnica, pom. uzytkowe",NA
"1:296","37,05 m²","pelna wlasnosc","2 ","zapytaj","8","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak","meble",NA,"310 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-na-brynowie-katowice-negocjuj-ID4gm3Y","katowice",NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:297","32,98 m²","pelna wlasnosc","1 ","do wykonczenia","7/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"330 460 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4fuG6","katowice",NA,NA,NA,NA
"1:298","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","2/3","balkon","650 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"nie",NA,"wielka plyta","248 999 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-katowice-ochojec-ID4gt4Q","katowice",NA,NA,"piwnica, pom. uzytkowe",NA
"1:299","26,47 m²","pelna wlasnosc","2 ","zapytaj","4/4","zapytaj","130 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1910","kamienica",NA,"nie",NA,"cegla","237 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standard-do-zamieszkania-ID4fjnO","katowice",NA,NA,NA,NA
"1:300","27,02 m²","pelna wlasnosc","1 ","zapytaj","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"tak",NA,NA,"199 948 zl","https://www.otodom.pl/pl/oferta/nowe-apartamenty-hetmanska-bez-pcc-ID4grBF","katowice",NA,NA,NA,NA
"1:301","36,44 m²","zapytaj","1 ","do wykonczenia","1","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,"inne","313 000 zl","https://www.otodom.pl/pl/oferta/nowa-inwestycja-sprzedane-ID4fV1k","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:302","31,4 m²","pelna wlasnosc","2 ","do zamieszkania","1/1","zapytaj","300 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,"cegla","199 000 zl","https://www.otodom.pl/pl/oferta/okazja-katowice-piekne-mieszkanie-2-pokojowe-ID4gqzG","katowice",NA,NA,NA,NA
"1:303","27,02 m²","zapytaj","1 ","do wykonczenia","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023",NA,NA,"tak",NA,NA,"199 948 zl","https://www.otodom.pl/pl/oferta/male-nieszkanie-inwestycyjne-na-ligocie-ID4g0jZ","katowice",NA,"system alarmowy",NA,"2023-01-01"
"1:304","38 m²","pelna wlasnosc","2 ","do remontu","4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,"213 500 zl","https://www.otodom.pl/pl/oferta/goraca-oferta-rezerwacja-ID4gp4H","katowice",NA,NA,NA,NA
"1:305","28 m²","pelna wlasnosc","1 ","do zamieszkania","10/13","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","meble, piekarnik",NA,"259 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-katowice-1000-lecia-gotowiec-inwestycyjn-ID4fZ3c","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica",NA
"1:306","38 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","4/4","balkon","zapytaj","zapytaj","Film","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,"228 000 zl","https://www.otodom.pl/pl/oferta/katowice-piotrowice-2-pokoje-niski-czynsz-ID4gng7","katowice",NA,NA,NA,NA
"1:307","25,1 m²","pelna wlasnosc","1 ","do remontu","2/2","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","1930","kamienica","plastikowe","nie",NA,"cegla","199 900 zl","https://www.otodom.pl/pl/oferta/mieszkanie-25m2-doskonala-lokalizacja-ID4gn8N","katowice",NA,"teren zamkniety, domofon / wideofon",NA,NA
"1:308","30,27 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","zapytaj","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"cegla","277 869 zl","https://www.otodom.pl/pl/oferta/gotowe-przepiekne-klimatyzowane-w-centrum-ID4fgNk","katowice","telewizja kablowa, internet, telefon","monitoring / ochrona","oddzielna kuchnia",NA
"1:309","36,39 m²","zapytaj","1 ","do wykonczenia","parter/2","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,"inne","299 000 zl","https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-panewniki-ID4fHpz","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:310","34,38 m²","pelna wlasnosc","2 ","do remontu","1/3","zapytaj","420 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965","blok",NA,"nie",NA,NA,"249 000 zl","https://www.otodom.pl/pl/oferta/od-zaraz-do-wlasnej-aranzacji-brynow-ID4fVID","katowice",NA,NA,NA,NA
"1:311","32,7 m²","pelna wlasnosc","2 ","zapytaj","parter/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok","plastikowe","nie",NA,NA,"261 600 zl","https://www.otodom.pl/pl/oferta/mieszkanie-32-70-m-katowice-ID4gl8Q","katowice",NA,NA,"oddzielna kuchnia",NA
"1:312","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","8/10","balkon","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak","meble",NA,"309 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-balkon-park-awf-ID4gl8k","katowice",NA,"monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:313","36,78 m²","zapytaj","2 ","do zamieszkania","1","zapytaj","450 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,"wielka plyta","280 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-spokojnej-dzielnicy-koszutka-ID4fZxK","katowice",NA,NA,NA,NA
"1:314","30,87 m²","zapytaj","2 ","do wykonczenia","9/13","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,NA,"335 445 zl","https://www.otodom.pl/pl/oferta/nowe-2-pok-debowe-tarasy-promocja-ID4fQm0","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA
"1:315","36 m²","zapytaj","2 ","do zamieszkania","parter/10","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak","meble",NA,"388 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-36m2-katowice-nowy-bazantow-ID4ggVg","katowice",NA,NA,NA,NA
"1:316","37,31 m²","pelna wlasnosc","2 ","do wykonczenia","parter/13","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","nie",NA,NA,"380 562 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-w-cetrum-katowic-debowe-tarasy-ID4ggPG","katowice",NA,NA,"pom. uzytkowe",NA
"1:317","31,6 m²","pelna wlasnosc","2 ","do wykonczenia","8/13","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","nie",NA,NA,"376 040 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-cetrum-katowic-debowe-tarasy-ID4ggPF","katowice",NA,NA,"pom. uzytkowe",NA
"1:318","25,92 m²","pelna wlasnosc","1 ","do wykonczenia","parter/13","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","nie",NA,NA,"311 040 zl","https://www.otodom.pl/pl/oferta/kawaleka-w-cetrum-katowic-debowe-tarasy-ID4ggsC","katowice",NA,NA,"pom. uzytkowe",NA
"1:319","37,61 m²","pelna wlasnosc","2 ","do zamieszkania","4/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","329 999 zl","https://www.otodom.pl/pl/oferta/katowice-srodmiescie-ul-mikolowska-ID4ggsp","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","piwnica, oddzielna kuchnia",NA
"1:320","32,6 m²","pelna wlasnosc","2 ","do wykonczenia","5/13","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","nie",NA,NA,"387 940 zl","https://www.otodom.pl/pl/oferta/mieszkanie-idealne-pod-wynajem-ID4gfx8","katowice",NA,NA,NA,"2022-04-08"
"1:321","30,22 m²","zapytaj","1 ","do wykonczenia","1/5","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021",NA,"plastikowe","tak",NA,"inne","286 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-centrum-stan-deweloperski-bez-prowizji-ID4dX3S","katowice",NA,NA,NA,NA
"1:322","37,49 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"431 135 zl","https://www.otodom.pl/pl/oferta/okam-inspire-2-pokoje-37m2-ogrodek-27m2-top-ID4gcsT","katowice",NA,"monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:323","25,92 m²","pelna wlasnosc","1 ","do wykonczenia","2/13","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","311 040 zl","https://www.otodom.pl/pl/oferta/idealna-inwestycja-pod-wynajem-ID4gcdy","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA
"1:324","31,6 m²","pelna wlasnosc","2 ","do wykonczenia","> 10/13","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,"pustak","376 040 zl","https://www.otodom.pl/pl/oferta/idealna-inwestycja-pod-wynajem-ID4gcdx","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA
"1:325","37,58 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4gbN7","katowice",NA,NA,NA,NA
"1:326","30,68 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","zapytaj","240 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","lodówka, meble, piekarnik, kuchenka, pralka","cegla","139 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-blisko-centrum-idealna-pod-inwestycje-ID4eDVT","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:327","25,1 m²","pelna wlasnosc","1 ","do remontu","2/2","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","1930","kamienica","plastikowe","nie",NA,"cegla","199 900 zl","https://www.otodom.pl/pl/oferta/mieszkanie-25m2-doskonala-lokalizacja-ID4ganY","katowice",NA,"teren zamkniety, domofon / wideofon",NA,NA
"1:328","37,4 m²","zapytaj","2 ","do remontu","> 10/15","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,"259 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-do-remontu-katowice-centrum-ID4g9aC","katowice",NA,NA,NA,NA
"1:329","32,7 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","zapytaj","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec",NA,"nie",NA,NA,"261 600 zl","https://www.otodom.pl/pl/oferta/przytulne-nowe-mieszkanie-bez-prowizji-i-pcc-ID4aYqb","katowice","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA
"1:330","27,27 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"297 243 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4g6jm","katowice",NA,NA,NA,NA
"1:331","30,27 m²","pelna wlasnosc","1 ","zapytaj","1/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","tak",NA,NA,"277 869 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-katowic-budynek-z-winda-ogr-ID4g63h","katowice",NA,NA,"oddzielna kuchnia",NA
"1:332","28,82 m²","pelna wlasnosc","1 ","zapytaj","1/5","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","tak",NA,NA,"267 501 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-odrestaurowanej-kamienicy-budynek-z-ID4g639","katowice",NA,NA,"oddzielna kuchnia",NA
"1:333","25 m²","pelna wlasnosc","1 ","do remontu","2","zapytaj","zapytaj","zapytaj","tak","gazowe","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,"cegla","200 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-25-mkw-w-centrum-ul-warszawska-ID4g4SE","katowice",NA,"domofon / wideofon",NA,NA
"1:334","26,18 m²","pelna wlasnosc","1 ","do remontu","3","zapytaj","zapytaj","zapytaj","tak","gazowe","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,"cegla","210 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-26-18-mkw-w-centrum-ul-warszawska-ID4g4Ri","katowice",NA,"domofon / wideofon",NA,NA
