"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","cena","urlo","miasto","Material budynku","Informacje dodatkowe","Dostepne od"
"1:1014","34 m²","zapytaj","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"monitoring / ochrona",NA,"322 000 zl","https://www.otodom.pl/pl/oferta/obok-2-uczelnie-bez-obow-miejsca-media-miejskie-ID4gWZI","wroclaw",NA,NA,NA
"1:1015","36,78 m²","zapytaj","1 ","zapytaj","5/7","zapytaj","400 zl","zapytaj","","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"aluminiowe","tak",NA,NA,NA,"625 260 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-przy-pl-nowy-targ-wizyta-3d-ID4dlDq","wroclaw",NA,NA,NA
"1:1016","23,04 m²","zapytaj","2 ","zapytaj","1/4","balkon","250 zl","zapytaj","","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,"plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"219 000 zl","https://www.otodom.pl/pl/oferta/minimaxy-mikroapartamenty-przy-lotnisku-wro-ID46d4B","wroclaw",NA,NA,NA
"1:1017","32,83 m²","pelna wlasnosc","2 ","zapytaj","parter/3","zapytaj","190 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"380 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-blisko-parku-i-uniwersytetu-medycznego-ID4gWVl","wroclaw","cegla","piwnica, oddzielna kuchnia",NA
"1:1018","37,9 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"433 955 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-balkon-ID4gWTj","wroclaw",NA,NA,NA
"1:1019","37,7 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"431 665 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-balkon-bez-prowizji-ID4gWTg","wroclaw",NA,NA,NA
"1:1020","37,9 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"439 640 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-balkon-ID4gWTd","wroclaw",NA,NA,NA
"1:1021","36,4 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"422 240 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-36m2-balkon-ID4gWT5","wroclaw",NA,NA,NA
"1:1022","37,9 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"430 165 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-balkon-bez-prowizji-ID4gWSX","wroclaw",NA,NA,NA
"1:1023","35,2 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"399 520 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-35m2-balkon-bezposrednio-ID4gWSR","wroclaw",NA,NA,NA
"1:1024","37,7 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"446 745 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-balkon-bez-prowizji-ID4gWSQ","wroclaw",NA,NA,NA
"1:1025","37,9 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"439 640 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-taras-bez-posrednikow-ID4gWSL","wroclaw",NA,NA,NA
"1:1026","35,1 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"415 935 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-35m2-balkon-bez-prowizji-ID4gWSm","wroclaw",NA,NA,NA
"1:1027","37,8 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"432 810 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-balkon-ID4gWSe","wroclaw",NA,NA,NA
"1:1028","35,9 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"425 415 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-35m2-balkon-ID4gWS4","wroclaw",NA,NA,NA
"1:1029","35,4 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"415 950 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-35m2-balkon-bez-prowizji-ID4gWRZ","wroclaw",NA,NA,NA
"1:1030","35,9 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"416 440 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-35m2-balkon-bezposrednio-ID4gWRY","wroclaw",NA,NA,NA
"1:1031","37,8 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"442 260 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-37m2-balkon-bez-prowizji-ID4gWRL","wroclaw",NA,NA,NA
"1:1032","36,8 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"435 160 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-36m2-taras-bez-posrednikow-ID4gWRI","wroclaw",NA,NA,NA
"1:1033","37,5 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1950","kamienica","plastikowe","nie",NA,NA,NA,"459 900 zl","https://www.otodom.pl/pl/oferta/rynek-swidnicka-2-pok-kuchnia-na-inwestycje-ID4gWR7","wroclaw","cegla","oddzielna kuchnia",NA
"1:1034","33 m²","zapytaj","1 ","do wykonczenia","2/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,NA,"389 000 zl","https://www.otodom.pl/pl/oferta/mozliwe-2-pokoje-2-uczelnie-w-poblizu-zadzwon-ID4gWO5","wroclaw",NA,NA,NA
"1:1035","31 m²","zapytaj","1 ","zapytaj","2/7","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-centrum-odbior-kluczy-na-wrzesien-ID4gWCl","wroclaw",NA,NA,NA
"1:1036","32,6 m²","pelna wlasnosc","1 ","do wykonczenia","2/17","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,"430 286 zl","https://www.otodom.pl/pl/oferta/okazja-apartament-nad-odra-balkon-4q2021-ID4gWC5","wroclaw","silikat","pom. uzytkowe","2023-10-01"
"1:1037","17,18 m²","zapytaj","1 ","do wykonczenia","1/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"296 355 zl","https://www.otodom.pl/pl/oferta/inwestycja-blisko-centrum-mikroapartament-ID4gWAY","wroclaw",NA,NA,"2024-04-01"
"1:1038","17,49 m²","zapytaj","1 ","do wykonczenia","1/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"290 421,45 zl","https://www.otodom.pl/pl/oferta/mikroapartament-inwestycja-blisko-centrum-ID4gWAI","wroclaw",NA,NA,"2024-04-01"
"1:1039","37,72 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"357 000 zl","https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-38mkw-oddanie-09-23-ogrod-ID4gWAD","wroclaw",NA,"pom. uzytkowe","2021-10-31"
"1:1040","36,27 m²","zapytaj","2 ","do zamieszkania","1/4","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1950","blok",NA,"nie",NA,NA,"meble","459 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-36-27-m2-2-pokoje-rynek-ID4gWzE","wroclaw","cegla","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1041","33,72 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"370 000 zl","https://www.otodom.pl/pl/oferta/19-min-centrum-2-pokoje-balkon-poludnie-ID4gWsP","wroclaw","silikat","pom. uzytkowe",NA
"1:1042","36,27 m²","zapytaj","2 ","zapytaj","1/2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1950",NA,NA,"nie",NA,NA,NA,"469 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-rynek-idealne-pod-inwestycje-ID4gWq1","wroclaw",NA,NA,NA
"1:1043","16,15 m²","zapytaj","1 ","zapytaj","1/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"268 171 zl","https://www.otodom.pl/pl/oferta/apartament-inwestycyjny-na-kepie-mieszczanskiej-ID4gWoT","wroclaw","inne",NA,"2023-12-01"
"1:1044","35,72 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gWlL","wroclaw",NA,NA,NA
"1:1045","37,59 m²","pelna wlasnosc","2 ","zapytaj","4/4","zapytaj","200 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1928","kamienica",NA,"nie",NA,NA,NA,"409 000 zl","https://www.otodom.pl/pl/oferta/ul-pereca-kamienica-rozklad-2-pokoje-inwestycja-ID4gWjF","wroclaw","cegla","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1046","31,85 m²","pelna wlasnosc","1 ","zapytaj","1/4","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1930","kamienica",NA,"nie",NA,NA,NA,"370 000 zl","https://www.otodom.pl/pl/oferta/okazja-centrum-ul-hercena-co-miejskie-rozklad-ID4gWjE","wroclaw","cegla","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1047","37,2 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","469 000 zl","https://www.otodom.pl/pl/oferta/hit-2m-w-centrum-piwnica-od-zaraz-ID4gWgZ","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:1048","32,24 m²","pelna wlasnosc","2 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","deweloper","2020",NA,NA,"tak",NA,NA,NA,"269 370 zl","https://www.otodom.pl/pl/oferta/apartamenty-32-24m2-ID3J5ju","wroclaw",NA,"dwupoziomowe","2019-12-31"
"1:1049","26 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"261 000 zl","https://www.otodom.pl/pl/oferta/biuro-sprzedazy-przejazdowa-17-kawalerka-261-000-ID4gW8m","wroclaw","silikat",NA,NA
"1:1050","35 m²","zapytaj","2 ","zapytaj","1/4","zapytaj","200 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1963","kamienica",NA,"nie",NA,NA,NA,"440 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-35-m-wroclaw-ID4gFx4","wroclaw",NA,NA,NA
"1:1051","34 m²","zapytaj","1 ","zapytaj","4/5","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec",NA,"tak","telewizja kablowa, internet, telefon",NA,NA,"680 000 zl","https://www.otodom.pl/pl/oferta/piekny-apartament-przy-rynku-klimatyzacja-komork-ID4gJIr","wroclaw",NA,"oddzielna kuchnia",NA
"1:1052","33,33 m²","pelna wlasnosc","2 ","zapytaj","6/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec",NA,"tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe",NA,"601 509 zl","https://www.otodom.pl/pl/oferta/widok-na-ogrod-botaniczny-ostatnie-pietro-ID4gUXP","wroclaw",NA,"pom. uzytkowe",NA
"1:1053","36,22 m²","pelna wlasnosc","2 ","do zamieszkania","> 10/16","balkon","470 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2011","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","580 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-odra-tower-ul-podwale-1-ID47X3L","wroclaw","pustak","oddzielna kuchnia","2021-05-18"
"1:1054","30,44 m²","pelna wlasnosc","2 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe",NA,"362 509 zl","https://www.otodom.pl/pl/oferta/gotowe-od-reki-umow-sie-na-ogladanie-okazja-ID4gUXt","wroclaw",NA,"pom. uzytkowe",NA
"1:1055","37,38 m²","pelna wlasnosc","2 ","zapytaj","parter/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe",NA,"439 509 zl","https://www.otodom.pl/pl/oferta/wrocilo-5-min-tramwaj-i-autobus-najtaniej-ID4gUXj","wroclaw",NA,"pom. uzytkowe",NA
"1:1056","37 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4gTSz","wroclaw",NA,NA,NA
"1:1057","31,88 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-31m2-balkon-ID4gIMA","wroclaw",NA,NA,NA
"1:1058","32,99 m²","pelna wlasnosc","1 ","zapytaj","2/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe",NA,"389 282 zl","https://www.otodom.pl/pl/oferta/kawalerka-33m2-z-balkonem-wydzielona-sypialnia-ID4fEHz","wroclaw","silikat",NA,NA
"1:1059","32,24 m²","pelna wlasnosc","2 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","deweloper","2020",NA,NA,"tak",NA,NA,NA,"269 370 zl","https://www.otodom.pl/pl/oferta/apartamenty-32-24m2-ID3J5iU","wroclaw",NA,"dwupoziomowe","2019-12-31"
"1:1060","37,38 m²","pelna wlasnosc","2 ","zapytaj","parter/9","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"439 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-stare-miastoodbierzesz-juz-09-2022-ID4gUL2","wroclaw",NA,"pom. uzytkowe",NA
"1:1061","33 m²","pelna wlasnosc","2 ","zapytaj","parter/2","zapytaj","190 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","meble","375 000 zl","https://www.otodom.pl/pl/oferta/krzyki-2-pokoje-33-m3-375-000-zl-ID4gEoc","wroclaw","cegla","piwnica",NA
"1:1062","36 m²","zapytaj","2 ","zapytaj","parter/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2021",NA,NA,"nie",NA,NA,NA,"379 000 zl","https://www.otodom.pl/pl/oferta/ogrod-2-pokoje-maslice-zielona-okolica-dostepn-ID4fKbe","wroclaw",NA,NA,NA
"1:1063","25,33 m²","zapytaj","1 ","do wykonczenia","parter/9","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"monitoring / ochrona",NA,"389 000 zl","https://www.otodom.pl/pl/oferta/balkon-parter-26m2-ID4gUDs","wroclaw",NA,NA,NA
"1:1064","34,55 m²","zapytaj","1 ","do wykonczenia","parter/9","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"monitoring / ochrona",NA,"429 000 zl","https://www.otodom.pl/pl/oferta/balkon-8m2-parter-35m2-ID4gUDt","wroclaw",NA,NA,NA
"1:1065","15 m²","zapytaj","1 ","do zamieszkania","parter","zapytaj","40 zl","garaz/miejsce parkingowe","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie",NA,NA,NA,"218 500 zl","https://www.otodom.pl/pl/oferta/mikro-kawalerka-na-nadodrzu-roi-ponad-7-ID4gUyE","wroclaw","cegla",NA,NA
"1:1066","30,68 m²","zapytaj","2 ","do remontu","2/6","balkon","360 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2024","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,"524 201 zl","https://www.otodom.pl/pl/oferta/srodmiescie-2-pokoje-balkon-2q2024-0-pcc-ID4gUvS","wroclaw","silikat",NA,NA
"1:1067","29,6 m²","pelna wlasnosc","1 ","do zamieszkania","2/2","zapytaj","270 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1934","blok",NA,"nie",NA,NA,"meble","335 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-30m-osobna-kuchnia-ul-hutnicza-ID4gNDH","wroclaw","cegla","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1068","38 m²","pelna wlasnosc","2 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"439 000 zl","https://www.otodom.pl/pl/oferta/ok-ul-gnieznienskiej-bez-prowizji-ID4gUpP","wroclaw","cegla",NA,NA
"1:1069","30,5 m²","pelna wlasnosc","2 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,"teren zamkniety, domofon / wideofon",NA,"340 000 zl","https://www.otodom.pl/pl/oferta/klucze-od-reki-2-pokoje-balkon-jagodno-dewe-ID4gUjy","wroclaw","inne",NA,"2022-02-01"
"1:1070","36 m²","pelna wlasnosc","2 ","zapytaj","parter/4","ogródek, taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"tak",NA,"teren zamkniety, domofon / wideofon",NA,"335 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-ogrod-taras-jagodno-deweloper-ID4gUjv","wroclaw","inne",NA,"2023-02-01"
"1:1071","27,1 m²","pelna wlasnosc","1 ","zapytaj","parter/4","ogródek, taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"tak",NA,"teren zamkniety, domofon / wideofon",NA,"309 900 zl","https://www.otodom.pl/pl/oferta/promocja-ogrod-taras-jagodno-deweloper-ID4gUju","wroclaw","inne",NA,"2023-02-01"
"1:1072","32,24 m²","pelna wlasnosc","2 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","deweloper","2020",NA,NA,"tak",NA,NA,NA,"269 370 zl","https://www.otodom.pl/pl/oferta/apartament-dwupoziomowy-24-49-7-75m-ID3J5hK","wroclaw",NA,"dwupoziomowe","2019-12-31"
"1:1073","29 m²","pelna wlasnosc","2 ","do zamieszkania","4/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Film","gazowe","wtórny","biuro nieruchomosci ","1890","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","399 000 zl","https://www.otodom.pl/pl/oferta/stylowe-2-pokoje-w-kamienicy-olbin-centrum-ID4gUbl","wroclaw","cegla","piwnica, pom. uzytkowe",NA
"1:1074","32,62 m²","zapytaj","2 ","zapytaj","4/7","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2024","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"397 840 zl","https://www.otodom.pl/pl/oferta/32m2-2-pokoje-ue-ul-borowska-ID4gUaT","wroclaw",NA,NA,NA
"1:1075","35,83 m²","zapytaj","1 ","zapytaj","1/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2021","apartamentowiec",NA,"tak","telewizja kablowa, internet",NA,NA,"839 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-z-tarasem-dobra-inwestycja-ID4gUaR","wroclaw",NA,NA,NA
"1:1076","28,5 m²","zapytaj","1 ","do remontu","5/10","zapytaj","350 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1980","blok","drewniane","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"329 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-tuz-przy-uniwersytecie-ekonomicznym-ID4gTW2","wroclaw","wielka plyta","oddzielna kuchnia",NA
"1:1077","37,3 m²","pelna wlasnosc","2 ","zapytaj","4/8","balkon","380 zl","garaz/miejsce parkingowe","","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"453 882 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-centrum-swietna-lokata-gotowe-za-2msc-ID4gTUm","wroclaw",NA,"oddzielna kuchnia",NA
"1:1078","28,82 m²","pelna wlasnosc","1 ","zapytaj","zapytaj","balkon","250 zl","garaz/miejsce parkingowe","","miejskie","pierwotny","biuro nieruchomosci ","2023",NA,"plastikowe","tak",NA,NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/ustawna-kawalerka-z-centrum-idealne-pod-inwestycje-ID4gTUh","wroclaw",NA,"oddzielna kuchnia",NA
"1:1079","31,23 m²","pelna wlasnosc","2 ","zapytaj","6/8","balkon","300 zl","garaz/miejsce parkingowe","","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"433 570 zl","https://www.otodom.pl/pl/oferta/gotowe-za-2-miesiace-kawalerka-2-pokoje-centrum-ID4gTUf","wroclaw",NA,"oddzielna kuchnia",NA
"1:1080","34,6 m²","pelna wlasnosc","2 ","zapytaj","4/8","balkon","300 zl","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2023",NA,"plastikowe","tak",NA,NA,NA,"459 000 zl","https://www.otodom.pl/pl/oferta/2-pok-centrum-swietna-lokata-tramwaj-balkon-10m2-ID4gTUb","wroclaw",NA,"oddzielna kuchnia",NA
"1:1081","34,7 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","taras","zapytaj","zapytaj","tak","kotlownia","pierwotny","deweloper","2023","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/kawalerka-35-m2-ID4gTTO","wroclaw","silikat",NA,NA
