"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","cena","urlo","miasto","Material budynku","Rok budowy","Dostepne od"
"1:1283","36,19 m²","zapytaj","1 ","do wykonczenia","8/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"521 136 zl","https://www.otodom.pl/pl/oferta/apartament-w-inwestycji-grzegorzki-park-a8-45-ID4bIpt","krakow",NA,"2022",NA
"1:1284","30,81 m²","zapytaj","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"nie",NA,NA,NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-tarasem-6m2-ID4gJIP","krakow",NA,"2023",NA
"1:1285","33,42 m²","zapytaj","2 ","zapytaj","6/14","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"425 000 zl","https://www.otodom.pl/pl/oferta/ul-stanczyka-33-42m2-6-pietro-okazja-ID4fLOT","krakow",NA,"2022","2022-03-10"
"1:1286","38 m²","zapytaj","2 ","zapytaj","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"tak",NA,"domofon / wideofon, monitoring / ochrona","meble, pralka",NA,"580 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-na-wroclawskiej-ID4g4rW","krakow",NA,"2005",NA
"1:1287","35,41 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-bezposrednio-ID4gJ0D","krakow",NA,NA,NA
"1:1288","36,55 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4gJ0A","krakow",NA,NA,NA
"1:1289","36,88 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4gJ0p","krakow",NA,NA,NA
"1:1290","37,96 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4gJ0e","krakow",NA,NA,NA
"1:1291","35,48 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4gIZZ","krakow",NA,NA,NA
"1:1292","37,96 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4gIZS","krakow",NA,NA,NA
"1:1293","36,95 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-ogrodek-bezposrednio-ID4gIZP","krakow",NA,NA,NA
"1:1294","27,61 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bezposrednio-ID4gIZK","krakow",NA,NA,NA
"1:1295","37,97 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4gIZA","krakow",NA,NA,NA
"1:1296","35,93 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4gIZt","krakow",NA,NA,NA
"1:1297","36,88 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4gIZn","krakow",NA,NA,NA
"1:1298","35,49 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gIZ7","krakow",NA,NA,NA
"1:1299","37,12 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-ID4gIYV","krakow",NA,NA,NA
"1:1300","35,49 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4gIYO","krakow",NA,NA,NA
"1:1301","37,01 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4gIYy","krakow",NA,NA,NA
"1:1302","36,55 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4gIXN","krakow",NA,NA,NA
"1:1303","35,74 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gIXO","krakow",NA,NA,NA
"1:1304","35,92 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-ID4gIXg","krakow",NA,NA,NA
"1:1305","37,25 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-ID4gIXa","krakow",NA,NA,NA
"1:1306","37,01 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4gIVZ","krakow",NA,NA,NA
"1:1307","36,55 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4gIVE","krakow",NA,NA,NA
"1:1308","37,96 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4gIWe","krakow",NA,NA,NA
"1:1309","36,95 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-ogrodek-bezposrednio-ID4gIW4","krakow",NA,NA,NA
"1:1310","36,55 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4gIUZ","krakow",NA,NA,NA
"1:1311","36,68 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4gIUS","krakow",NA,NA,NA
"1:1312","35,94 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gIUO","krakow",NA,NA,NA
"1:1313","35,49 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-ID4gIUP","krakow",NA,NA,NA
"1:1314","35,74 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gIUQ","krakow",NA,NA,NA
"1:1315","36,88 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4gIUI","krakow",NA,NA,NA
"1:1316","35,94 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gIUD","krakow",NA,NA,NA
"1:1317","37,97 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4gIUe","krakow",NA,NA,NA
"1:1318","36,98 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4gIUc","krakow",NA,NA,NA
"1:1319","37,44 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4gIU8","krakow",NA,NA,NA
"1:1320","37,96 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4gIU7","krakow",NA,NA,NA
"1:1321","37,01 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4gITF","krakow",NA,NA,NA
"1:1322","36,2 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4gITs","krakow",NA,NA,NA
"1:1323","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4gIJ6","krakow",NA,NA,NA
"1:1324","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4gIII","krakow",NA,NA,NA
"1:1325","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4gIIu","krakow",NA,NA,NA
"1:1326","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4gII9","krakow",NA,NA,NA
"1:1327","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4gIHR","krakow",NA,NA,NA
"1:1328","31,81 m²","pelna wlasnosc","1 ","do wykonczenia","parter/6","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bezposrednio-ID4gIHw","krakow",NA,NA,NA
"1:1329","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","4/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4gIHk","krakow",NA,NA,NA
"1:1330","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","parter/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4gIHe","krakow",NA,NA,NA
"1:1331","31,81 m²","pelna wlasnosc","1 ","do wykonczenia","parter/6","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bezposrednio-ID4gIH9","krakow",NA,NA,NA
"1:1332","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","parter/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4gIH7","krakow",NA,NA,NA
"1:1333","29,86 m²","pelna wlasnosc","1 ","do zamieszkania","5/6","zapytaj","410 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"system alarmowy, monitoring / ochrona","meble",NA,"365 000 zl","https://www.otodom.pl/pl/oferta/studio-z-wydzielona-czescia-sypialnia-mozarta-ID4gIG4","krakow",NA,"2008",NA
"1:1334","36,1 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"545 110 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4fTqt","krakow",NA,NA,NA
"1:1335","33,46 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon",NA,"oddzielna kuchnia","515 000 zl","https://www.otodom.pl/pl/oferta/na-sprzedaz-2-pok-33-46-m-2-ul-dominikanow-ID4g4ZY","krakow","pustak","2022",NA
"1:1336","33,84 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","apartamentowiec",NA,"tak","telewizja kablowa, internet","domofon / wideofon",NA,NA,"328 248 zl","https://www.otodom.pl/pl/oferta/apartamenty-gusta-naturalnie-d-3-37-ID4g3tv","krakow",NA,"2023","2023-12-31"
"1:1337","33,01 m²","zapytaj","1 ","zapytaj","7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak",NA,NA,NA,NA,"488 548 zl","https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-m165-ID47poG","krakow",NA,"2020",NA
"1:1338","36,19 m²","zapytaj","1 ","do wykonczenia","7/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"513 898 zl","https://www.otodom.pl/pl/oferta/apartament-w-inwestycji-grzegorzki-park-a8-39-ID4bIpr","krakow",NA,"2022",NA
"1:1339","36,68 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","zapytaj","200 zl","zapytaj","Film","gazowe","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie","telewizja kablowa, internet, telefon",NA,"meble","oddzielna kuchnia","555 000 zl","https://www.otodom.pl/pl/oferta/inwestycyjne-przytulne-2-pok-37m2-karmelicka-ID4fqZf","krakow","cegla","1915",NA
"1:1340","28,3 m²","pelna wlasnosc","1 ","do zamieszkania","3/5","zapytaj","350 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,NA,"737 000 zl","https://www.otodom.pl/pl/oferta/1-pok-rakowicka-14-uek-galeria-krakowska-ID4gI9l","krakow",NA,"2020",NA
"1:1341","34,3 m²","pelna wlasnosc","1 ","zapytaj","3/3","zapytaj","zapytaj","zapytaj","","gazowe","wtórny","biuro nieruchomosci ",NA,NA,"nie","telewizja kablowa, internet",NA,"meble",NA,"505 000 zl","https://www.otodom.pl/pl/oferta/dwa-mieszkania-inwestycyjne-rynek-podgorski-ID4gI8Y","krakow",NA,NA,NA
"1:1342","33,5 m²","pelna wlasnosc","2 ","do zamieszkania","parter/4","taras","420 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,"monitoring / ochrona","meble",NA,"457 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-z-tarasem-podgorze-ID4fzve","krakow",NA,"2014",NA
"1:1343","37 m²","pelna wlasnosc","2 ","do zamieszkania","9/10","balkon","275 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet",NA,"meble",NA,"499 500 zl","https://www.otodom.pl/pl/oferta/nowe-komfortowe-2-pokojowe-mieszkanie-37m2-z-pie-ID4gHXZ","krakow",NA,"2021","2022-06-26"
"1:1344","36,1 m²","zapytaj","2 ","do wykonczenia","1/5","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"nie",NA,NA,NA,NA,"545 110 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-z-balkonem-centrum-ID4gHXq","krakow",NA,"2023",NA
"1:1345","35 m²","pelna wlasnosc","1 ","do zamieszkania","1/2","balkon","294 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"piwnica, oddzielna kuchnia","327 000 zl","https://www.otodom.pl/pl/oferta/nowa-huta-35m2-i-pietro-cegla-sprzedam-ID4gHV8","krakow","cegla","1960",NA
"1:1346","35,51 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/fredry-vi-e4-funkcjonalne-mieszkanie-6a-m13-ID4gHXU","krakow",NA,"2024",NA
"1:1347","34 m²","pelna wlasnosc","1 ","zapytaj","2","zapytaj","380 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,"lodówka, meble, piekarnik, kuchenka, telewizor","piwnica","410 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-34m2-w-centrum-krakowa-salwator-ID4gHTt","krakow",NA,NA,NA
"1:1348","36,65 m²","zapytaj","2 ","do zamieszkania","1/3","balkon","468,20 zl","garaz/miejsce parkingowe","zapytaj","inne","wtórny","biuro nieruchomosci ","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","pom. uzytkowe","960 000 zl","https://www.otodom.pl/pl/oferta/zamieszkaj-w-parku-2-pokoje-36-65-m2-debniki-ID4gHOv","krakow",NA,"2016",NA
"1:1349","30 m²","zapytaj","1 ","do zamieszkania","1","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","dom wolnostojacy",NA,"nie",NA,"system alarmowy, monitoring / ochrona",NA,"pom. uzytkowe","295 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-miejsce-postojowe-ul-wielicka-ID4fvX9","krakow",NA,"1990",NA
"1:1350","29,55 m²","pelna wlasnosc","1 ","do zamieszkania","1/2","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,"piwnica, pom. uzytkowe","443 250 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-kamienicy-piwnica-pradnik-czerwony-ID4gHLW","krakow",NA,"1997",NA
"1:1351","37,41 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"553 668 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-bez-posrednikow-ID4fTpb","krakow",NA,NA,NA
"1:1352","25,7 m²","pelna wlasnosc","1 ","do zamieszkania","1/5","balkon","zapytaj","zapytaj","Film","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"tak","telewizja kablowa, internet","domofon / wideofon","meble",NA,"649 000 zl","https://www.otodom.pl/pl/oferta/prestizowe-studio-na-rajskiej-stare-miasto-ID4dBC9","krakow",NA,"2018","2021-10-01"
"1:1353","31,64 m²","pelna wlasnosc","1 ","do zamieszkania","2/5","zapytaj","320 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"monitoring / ochrona","meble",NA,"450 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-komfortowym-apartamentowcu-ul-lea-ID4gylC","krakow",NA,"2010",NA
"1:1354","34 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/10","zapytaj","315 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,NA,"405 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-atrakcyjnej-lokalizacji-bronowicka-ID4gyIT","krakow","wielka plyta","1975",NA
