"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od","Rok budowy"
"1:521","25,6 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"230 000 zl","https://www.otodom.pl/pl/oferta/stan-deweloperski-apartamentowiec-garaz-centrum-ID4gVBK","lodz","2022-03-01","2022"
"1:522","35 m²","zapytaj","1 ","zapytaj","parter/3","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,"teren zamkniety",NA,"piwnica",NA,"310 000 zl","https://www.otodom.pl/pl/oferta/kawalerkana-parterze-ID4gVv3","lodz",NA,"2002"
"1:523","36,61 m²","pelna wlasnosc","2 ","do wykonczenia","3/5","balkon, ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","apartamentowiec",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-odbioru-centrum-lodzi-ID4fYnk","lodz","2021-09-09","2020"
"1:524","37 m²","pelna wlasnosc","1 ","do remontu","8/10","balkon","320 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,"meble",NA,NA,"258 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-widzewie-ID4gnGs","lodz","2022-04-23","1982"
"1:525","26,13 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","229 900 zl","https://www.otodom.pl/pl/oferta/wolczanska-4-mieszkania-dostepne-od-reki-ID4bMxx","lodz",NA,NA
"1:526","25,42 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","zapytaj","330 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,"cegla","260 000 zl","https://www.otodom.pl/pl/oferta/1-pokoj-kawalerka-centrum-piotrkowska-ID4gWtN","lodz",NA,NA
"1:527","29,79 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"280 026 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-apartamentowiec-w161-m3-7-ID4gQ14","lodz",NA,"2023"
"1:528","28,42 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon, ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","apartamentowiec",NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-odbioru-centrum-lodzi-ID4fYmW","lodz","2021-09-09","2020"
"1:529","27,5 m²","pelna wlasnosc","1 ","do zamieszkania","2/6","balkon","280 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"pustak","287 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-nowa-przedzalnia-27m2-miejsce-postojowe-ID4g7Yd","lodz",NA,"2021"
"1:530","33,5 m²","spóldzielcze wl. z KW","1 ","do wykonczenia","parter/6","ogródek, taras","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"silikat","350 000 zl","https://www.otodom.pl/pl/oferta/m1-33m2-ogrodek-70m2-garaz-podziemny-okopowa-105-ID4gUOZ","lodz",NA,"2019"
"1:531","37 m²","pelna wlasnosc","2 ","do remontu","6/10","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"piwnica","cegla","253 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-2-pokoje-bezposrednio-ID4gOcg","lodz","2022-03-22",NA
"1:532","37,64 m²","zapytaj","2 ","do zamieszkania","parter","balkon","430 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka plyta","240 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-parter-dabrowa-37-6m2-ID4gUHv","lodz",NA,NA
"1:533","16,33 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","zapytaj","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","144 900 zl","https://www.otodom.pl/pl/oferta/wolczanska-4-mieszkania-dostepne-od-reki-ID4bMuE","lodz",NA,NA
"1:534","36,27 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","inne","301 041 zl","https://www.otodom.pl/pl/oferta/atrakcyjna-lokalizacja-ustawne-2pok-super-cena-ID4gUBQ","lodz",NA,"2022"
"1:535","37,2 m²","pelna wlasnosc","2 ","do wykonczenia","5/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"inne","331 973 zl","https://www.otodom.pl/pl/oferta/nowe-2pok-w-sasiedztwie-politechniki-lodzkiej-ID4gUzm","lodz",NA,"2022"
"1:536","30 m²","pelna wlasnosc","1 ","do zamieszkania","9/12","balkon, taras","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia, pom. uzytkowe","beton","299 900 zl","https://www.otodom.pl/pl/oferta/mieszkania-inwestycyjne-w-lodzi-bezposrednio-6-12-ID4gU6k","lodz",NA,"2020"
"1:537","33,06 m²","zapytaj","1 ","zapytaj","1/2","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,"domofon / wideofon",NA,NA,"cegla","249 000 zl","https://www.otodom.pl/pl/oferta/mieszkac-czy-wynajmowac-decyzja-nalezy-do-ciebie-ID4gTTA","lodz",NA,"1950"
"1:538","38 m²","zapytaj","2 ","do zamieszkania","7/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,"domofon / wideofon","meble",NA,"inne","329 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-swiezo-po-remoncie-ID4gvKv","lodz","2022-05-02","1996"
"1:539","14,63 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","140 000 zl","https://www.otodom.pl/pl/oferta/scisle-centrum-inwestycyjnie-miejskie-ID4gTv6","lodz",NA,NA
"1:540","26,17 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-bezposrednio-ID4eFal","lodz",NA,NA
"1:541","21,07 m²","pelna wlasnosc","2 ","zapytaj","parter/2","zapytaj","200 zl","zapytaj","Wirtualny spacer","zapytaj","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,"oddzielna kuchnia","cegla","220 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gotowiec-inwestycyjny-ID4gTgo","lodz",NA,"1960"
"1:542","24,29 m²","pelna wlasnosc","2 ","zapytaj","parter/2","zapytaj","240 zl","zapytaj","Wirtualny spacer","zapytaj","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia","cegla","240 000 zl","https://www.otodom.pl/pl/oferta/male-dwa-pokoje-okolice-politechniki-ID4gTgn","lodz",NA,"1960"
"1:543","36 m²","zapytaj","2 ","do zamieszkania","1/4","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,"monitoring / ochrona",NA,NA,NA,"320 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-wykonczone-pod-klucz-loggia-dabrowa-ID4gSVC","lodz",NA,"1963"
"1:544","33,3 m²","zapytaj","1 ","zapytaj","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,NA,NA,NA,"283 050 zl","https://www.otodom.pl/pl/oferta/kawalerka-idealna-pod-wynajem-ID4gSRi","lodz",NA,NA
"1:545","16,8 m²","zapytaj","1 ","zapytaj","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,NA,NA,NA,"142 800 zl","https://www.otodom.pl/pl/oferta/mikrokawalerka-idealna-pod-wynajem-ID4gSRg","lodz",NA,NA
"1:546","30,38 m²","pelna wlasnosc","2 ","do zamieszkania","5/7","zapytaj","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,NA,"394 900 zl","https://www.otodom.pl/pl/oferta/inwestycyjnie-scisle-centrum-wykonczone-ID4gSEw","lodz",NA,NA
"1:547","30,4 m²","pelna wlasnosc","1 ","do remontu","parter/2","zapytaj","200 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica","cegla","199 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-lodz-srodmiescie-ID4gSDJ","lodz",NA,"1897"
"1:548","22,45 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","zapytaj","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","199 900 zl","https://www.otodom.pl/pl/oferta/wolczanska-4-zrewitalizowana-kamienica-ID4bMGE","lodz",NA,NA
"1:549","35,2 m²","pelna wlasnosc","2 ","zapytaj","4/4","balkon","381 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,NA,NA,"244 900 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-36m2-dabrowa-ul-felinskiego-ID4gnkh","lodz",NA,NA
"1:550","36,85 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","270 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,NA,"wielka plyta","270 000 zl","https://www.otodom.pl/pl/oferta/dabrowa-zarzew-2-pokoje-balkon-po-remoncie-ID4gShS","lodz","2022-05-25","1970"
"1:551","37 m²","pelna wlasnosc","2 ","do remontu","4/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,NA,"wielka plyta","249 000 zl","https://www.otodom.pl/pl/oferta/m3-37m2-baluty-zabieniec-4p-okazja-ID4gShO","lodz",NA,"1978"
"1:552","27,43 m²","pelna wlasnosc","1 ","do wykonczenia","5/13","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4gSfC","lodz",NA,NA
"1:553","21,07 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","zapytaj","240 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, telewizor, pralka",NA,"cegla","220 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-parter-22m2-gorna-blisko-politechnika-ID4gRBr","lodz",NA,"1950"
"1:554","24,29 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","zapytaj","240 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, telewizor, pralka",NA,"cegla","240 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-parter-24m2-gorna-blisko-politechnika-ID4gRBn","lodz",NA,"1970"
"1:555","37 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","270 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,"piwnica","wielka plyta","269 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-przy-skwerze-kolbego-ID4gRud","lodz",NA,"1970"
"1:556","37 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","1/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia",NA,"290 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-m-lodz-ID4gR2r","lodz",NA,NA
"1:557","27,58 m²","zapytaj","1 ","do wykonczenia","2/7","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"264 851 zl","https://www.otodom.pl/pl/oferta/diasfera-lodzka-wyjatkowe-mieszkanie-c13-ID4c3VI","lodz",NA,"2021"
"1:558","32,86 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"312 170 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-apartamentowiec-w161-m1-1-ID4gQ86","lodz",NA,"2023"
"1:559","32,35 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"307 325 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-apartamentowiec-w161-m1-2-ID4gQ7V","lodz",NA,"2023"
"1:560","36,12 m²","pelna wlasnosc","1 ","do remontu","3/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","inne","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,NA,"cegla","185 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-400m-od-manufaktury-ID4gCMf","lodz",NA,NA
"1:561","37,7 m²","pelna wlasnosc","2 ","do zamieszkania","1/10","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka","pom. uzytkowe","wielka plyta","260 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-balkon-blok-dabrowa-gorna-ID4gPV6","lodz",NA,NA
"1:562","35,61 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","ogródek, taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"354 999 zl","https://www.otodom.pl/pl/oferta/ogrodek-az-103m2-stan-deweloperski-idealne-ID4gPhA","lodz","2022-05-04","2022"
"1:563","31,35 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-bez-prowizji-ID4gP8i","lodz",NA,NA
"1:564","33,25 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,"oddzielna kuchnia",NA,"264 337,50 zl","https://www.otodom.pl/pl/oferta/nowe-osiedle-preciosa-ul-czestochowska-ID4gOYt","lodz",NA,"2023"
"1:565","36,5 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","zapytaj","400 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica",NA,"285 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjne-2-pokoje-lodz-retkinia-ID4gbJt","lodz","2022-04-07","1970"
"1:566","28,59 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,NA,NA,"235 867 zl","https://www.otodom.pl/pl/oferta/nowe-osiedle-preciosa-m2-czestochowska-ID4gONb","lodz",NA,"2023"
"1:567","36,56 m²","pelna wlasnosc","1 ","do wykonczenia","10/11","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-bez-posrednikow-ID4eUCF","lodz",NA,NA
"1:568","32,75 m²","pelna wlasnosc","2 ","do remontu","2/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,"oddzielna kuchnia","wielka plyta","228 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-32-75-m-lodz-ID4gOBC","lodz",NA,"1985"
"1:569","33,18 m²","zapytaj","1 ","do wykonczenia","7/7","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak","internet",NA,NA,NA,NA,"338 436 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-diasfera-lodzka-d60-ID4c3FG","lodz",NA,"2021"
"1:570","32,76 m²","pelna wlasnosc","1 ","do wykonczenia","6/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-bez-prowizji-ID4gsRu","lodz",NA,NA
"1:571","34,74 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"267 498 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-loggia-ID4eRkN","lodz",NA,NA
"1:572","37,22 m²","pelna wlasnosc","1 ","do zamieszkania","2/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-37m2-z-wydzielona-sypialnia-ID4gOiJ","lodz",NA,"2021"
"1:573","29,19 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","telewizja kablowa, internet",NA,NA,NA,"cegla","300 000 zl","https://www.otodom.pl/pl/oferta/nowe-29-19-mkw-z-balkonem-ok-ogrody-geyera-ID4gdE5","lodz",NA,"1910"
"1:574","36,25 m²","spóldzielcze wl. z KW","2 ","zapytaj","3/4","ogródek","353 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,"teren zamkniety, monitoring / ochrona",NA,"pom. uzytkowe","wielka plyta","259 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-36m2-balkon-3-pietro-ID4gNFf","lodz",NA,NA
"1:575","25 m²","zapytaj","1 ","zapytaj","2","zapytaj","350 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","20 000 zl","https://www.otodom.pl/pl/oferta/1-pojkoj-polesie-25mkw-2-pietro-ID4gNCV","lodz",NA,NA
"1:576","25,1 m²","spóldzielcze wlasnosciowe","1 ","do remontu","4/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,"oddzielna kuchnia","wielka plyta","190 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-ul-lutomierskiej-ID4gNwk","lodz",NA,"1970"
"1:577","32,8 m²","zapytaj","1 ","zapytaj","parter/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper",NA,NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"piwnica",NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartament-w-samym-centrum-idealny-pod-wynajem-ID4gNj1","lodz","2023-06-01","2021"
"1:578","28,59 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","monitoring / ochrona",NA,NA,NA,"235 867,50 zl","https://www.otodom.pl/pl/oferta/osiedle-preciosa-zarzew-28-59m2-ID4gMXW","lodz",NA,"2023"
"1:579","33,08 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","monitoring / ochrona",NA,NA,NA,"266 294 zl","https://www.otodom.pl/pl/oferta/kawalerka-lodz-blisko-centrum-inwestycja-2023-ID4gMTq","lodz",NA,"2023"
"1:580","33 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,NA,"pom. uzytkowe","cegla","310 000 zl","https://www.otodom.pl/pl/oferta/idealne-mieszkanie-na-studia-ID4gMTm","lodz",NA,"1970"
"1:581","33,32 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,NA,NA,"268 226 zl","https://www.otodom.pl/pl/oferta/nowe-osiedle-preciosa-m3-czestochowska-ID4gMTk","lodz",NA,"2023"
"1:582","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-ID4gMRX","lodz",NA,NA
"1:583","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","2/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4gMRY","lodz",NA,NA
"1:584","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-ID4gMRM","lodz",NA,NA
"1:585","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-ID4gMRJ","lodz",NA,NA
"1:586","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4gMRw","lodz",NA,NA
"1:587","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","2/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4gMRr","lodz",NA,NA
"1:588","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4gMRn","lodz",NA,NA
